School Name,District Name,School Type,Census Day Enrollment,American Indian or Alaska Native #,Asian #,Black or African American #,Filipino #,Hispanic or Latino #,Native Hawaiian or Pac Islander #,Two or More Races #,None Reported # (School),White #,Free/Reduced Meals %,Suspension Rate,Chronic Absenteeism %,Chronic Absenteeism #,CAASPP-Math Standard Exceeded or Met (Levels 3 and 4),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4)
Achieve Academy,Oakland Unified,Elementary,638,1,13,17,10,576,2,3,0,16,89.8,1.5,9.6,64,31.63,25.31
ACORN Woodland Elementary,Oakland Unified,Elementary,286,0,3,18,0,256,0,1,2,6,92,0,21,61,42.86,41.3
Alameda Community Learning Center,Alameda Unified,K-12 Schools (Public),351,0,72,27,20,47,0,33,29,123,26.5,3.5,11.3,41,58.6,75
Alameda County Community,Alameda County Office of Education,County Community,133,1,1,42,1,75,0,5,0,8,85.7,1.5,75.3,207,0,7.14
Alameda High,Alameda Unified,High School,1767,2,678,89,108,223,10,109,9,539,21,2.3,8,145,61.75,83.33
Alameda Science and Technology Institute,Alameda Unified,Alternative,192,0,91,9,17,18,2,9,2,44,28.7,0.5,5.7,11,89.58,97.92
Albany High,Albany City Unified,High School,1168,1,356,37,16,193,4,128,16,417,18.3,0.9,8,94,70.75,80.84
Albany Middle,Albany City Unified,Middle,862,0,231,26,8,152,2,129,30,284,22,5.2,4.8,42,70.94,78.55
Alisal Elementary,Pleasanton Unified,Elementary,644,2,257,4,14,70,0,41,2,254,8.2,0.4,1.9,13,69.92,72.19
Allendale Elementary,Oakland Unified,Elementary,401,2,51,115,11,185,7,14,1,15,83,0.6,44.6,191,11.3,10.23
Alliance Academy,Oakland Unified,Middle,287,1,9,47,1,216,7,2,1,3,95.1,8.7,38.7,126,7.36,18.48
Altamont Creek Elementary,Livermore Valley Joint Unified,Elementary,585,5,120,10,14,123,1,48,0,264,17.1,0.3,2.3,13,62.98,66.92
Alternatives in Action,Alameda Unified,High School,202,1,0,12,0,168,0,2,17,2,94.6,9,41.4,84,0,3.7
Alvarado Elementary,New Haven Unified,Elementary,726,4,168,31,264,162,9,44,1,43,48.8,0.3,51.6,393,56.87,59.4
Amador Valley High,Pleasanton Unified,High School,2713,3,1078,29,61,222,4,103,1,1212,7.5,3.1,4.1,113,70.02,80.67
Amelia Earhart Elementary,Alameda Unified,Elementary,651,1,226,17,37,84,1,103,23,159,11.7,1,3.3,22,86.88,83.99
American High,Fremont Unified,High School,2448,5,1508,76,234,200,12,87,0,326,20.1,3.6,6.2,154,70.26,88.68
American Indian Public Charter,Oakland Unified,Junior High,161,0,91,38,2,18,0,2,0,10,73.9,3.5,2.4,4,66.01,47.44
American Indian Public Charter II,Oakland Unified,Elementary,794,3,376,266,4,90,3,10,2,40,75.6,3.5,5.6,45,73.13,62.59
American Indian Public High,Oakland Unified,High School,411,2,222,95,5,62,1,1,0,23,70.6,5.1,14,58,62.96,59.32
Andrew N. Christensen Middle,Livermore Valley Joint Unified,Middle,715,2,83,16,23,172,3,66,0,350,19.4,4.8,0,0,50,68.24
Anna Yates Elementary,Emery Unified,Elementary,534,1,55,232,10,130,7,48,0,51,79.8,2.7,21.8,119,23.29,36.14
Anthony W. Ochoa Middle,Hayward Unified,Middle,588,2,48,53,74,340,23,26,1,21,66.7,9.9,11.5,69,33.69,39.35
Ardenwood Elementary,Fremont Unified,Elementary,963,0,734,14,48,53,4,20,5,85,10.6,0.3,3.2,32,84.21,85.29
ARISE High,Oakland Unified,High School,317,2,4,6,8,292,0,3,2,0,71.6,4.8,20.8,68,7.81,66.67
Arroyo High,San Lorenzo Unified,High School,1819,7,351,127,207,859,25,42,6,195,49,4.4,10.7,196,35.48,59.47
Arroyo Seco Elementary,Livermore Valley Joint Unified,Elementary,678,0,46,15,16,216,0,69,2,314,23.3,1.6,4.1,27,48.65,59.46
ASCEND,Oakland Unified,Elementary,486,1,5,14,2,455,0,4,0,5,84.6,1.8,4.9,24,34.08,36.33
Aspire Berkley Maynard Academy,Oakland Unified,Elementary,587,0,11,330,3,184,0,24,7,28,69.4,3.6,17.6,105,37.32,44.61
Aspire College Academy,Oakland Unified,Elementary,286,1,0,77,0,188,1,5,14,0,86.3,2.1,9.1,26,26.92,20
Aspire ERES Academy,Oakland Unified,Elementary,237,0,0,12,2,215,0,3,5,0,95.7,2.7,16.5,41,22.44,35.26
Aspire Golden State College Preparatory Academy,Oakland Unified,K-12 Schools (Public),618,1,2,101,1,510,0,1,1,1,89,11.8,12.3,77,18.28,37.09
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,K-12 Schools (Public),525,0,2,23,0,493,3,0,4,0,83.4,15.4,5.2,28,25,36.72
Aspire Monarch Academy,Oakland Unified,Elementary,418,0,1,12,1,399,3,2,0,0,90.2,1.6,11.3,48,48.99,42.93
Aspire Triumph Technology Academy,Oakland Unified,Elementary,284,0,4,171,1,97,0,0,10,1,95.4,5.9,25.7,78,23.65,30.82
August Schilling Elementary,Newark Unified,Elementary,378,1,18,5,26,304,4,12,0,8,74.8,1.4,6.7,27,22.48,31.94
Aurum Preparatory Academy,Alameda County Office of Education,Junior High,91,0,0,45,0,46,0,0,0,0,89,14.9,30.9,30,11.54,12.2
Bancroft Middle,San Leandro Unified,Middle,1055,7,66,197,45,578,12,45,7,98,66.5,12.2,13.6,147,19,33.73
Bay Area Technology,Oakland Unified,K-12 Schools (Public),299,3,7,108,2,159,2,3,1,14,53.5,10.6,14.4,46,11.38,22.42
Bay Elementary,San Lorenzo Unified,Elementary,493,2,101,18,37,247,6,33,1,48,51.7,0.6,10.6,54,40.37,41.2
Bay Farm,Alameda Unified,Elementary,610,1,207,19,26,69,1,114,12,161,9.8,1.1,2.6,16,76.53,80.85
Beach Elementary,Piedmont City Unified,Elementary,276,0,38,7,1,27,0,65,0,138,2.9,0,3.9,11,91.91,88.24
Bella Vista Elementary,Oakland Unified,Elementary,469,5,211,102,7,99,2,22,5,16,79.3,0.6,24.9,123,40.82,29.69
Berkeley Arts Magnet at Whittier,Berkeley Unified,Elementary,425,0,47,47,6,67,0,70,0,188,30.4,0,7.7,34,70.19,71.98
Berkeley High,Berkeley Unified,High School,3154,6,251,430,24,698,9,411,1,1324,26.1,1.9,10.1,326,52.12,75.28
Birch Grove Intermediate,Newark Unified,Elementary,438,2,96,22,60,165,7,21,5,60,41.3,2.6,3.3,15,55.78,54.2
Bohannon Middle,San Lorenzo Unified,Middle,785,4,70,54,46,524,14,7,6,60,66.5,7.1,9.8,78,17.77,27.13
Bowman Elementary,Hayward Unified,Elementary,301,2,31,26,13,200,10,8,0,11,76.1,5.2,14.8,49,13.42,28.17
Brenkwitz High,Hayward Unified,Continuation,161,0,1,19,3,112,7,6,0,13,71.4,4.7,87.5,273,0,5.62
Bret Harte Middle,Hayward Unified,Middle,605,2,27,107,23,356,15,29,3,43,67.9,7,12.9,82,13.2,18.41
Bret Harte Middle,Oakland Unified,Middle,556,2,74,200,14,190,10,15,14,37,85.3,9.6,49.6,357,23.72,35.48
Bridgepoint High,Newark Unified,Continuation,66,0,1,4,2,53,1,2,0,3,74.2,13.4,42.7,53,0,2.78
Bridges Academy,Oakland Unified,Elementary,439,1,13,17,0,389,0,3,8,8,96.8,0.8,31,144,15.89,15.17
Brier Elementary,Fremont Unified,Elementary,717,4,345,15,58,215,6,15,8,51,39.9,0.2,5.3,41,51.71,61.96
Brookfield Elementary,Oakland Unified,Elementary,232,0,8,63,2,139,7,3,3,7,89.7,1.7,25.3,69,17.17,17.53
Brookvale Elementary,Fremont Unified,Elementary,708,3,459,15,36,89,2,22,5,77,13.1,2.5,3.4,25,81.06,79.5
Burbank Elementary,Hayward Unified,Elementary,867,3,35,62,43,665,9,32,1,17,72.7,1.6,7.6,69,32.26,44.01
Burckhalter Elementary,Oakland Unified,Elementary,249,3,6,175,0,36,8,10,5,6,84.7,0.3,49.8,137,28.21,25
Cabrillo Elementary,Fremont Unified,Elementary,418,4,112,19,23,167,24,16,2,51,53.1,1.2,9.8,45,37.56,50.47
Canyon Middle,Castro Valley Unified,Middle,1391,5,387,80,62,354,11,128,11,353,23.9,3.7,6.1,87,56.96,65.6
Carl B. Munck Elementary,Oakland Unified,Elementary,228,2,14,129,1,41,4,17,6,14,73.9,0.4,33.9,82,23.53,23.53
Castlemont High,Oakland Unified,High School,835,1,12,222,4,560,15,2,10,9,91.3,4.4,60.3,589,0,9.4
Castro Valley Elementary,Castro Valley Unified,Elementary,506,1,103,34,23,186,6,51,13,89,46.7,0.2,8.1,42,58.77,65.04
Castro Valley High,Castro Valley Unified,High School,2834,5,775,166,127,672,14,263,28,784,22.2,3.5,10.5,301,59.81,67.92
Centerville Junior High,Fremont Unified,Middle,972,1,437,35,55,221,11,39,0,173,29.8,3.2,7.2,72,59.42,67.96
Cesar Chavez Middle,Hayward Unified,Middle,554,0,47,29,37,405,19,6,0,11,70.2,13.6,12.2,72,12.76,21.97
Cesar Chavez Middle,New Haven Unified,Middle,1210,4,146,60,125,719,36,52,0,68,58.9,4.6,47.5,586,25.98,33.56
Chabot Elementary,Castro Valley Unified,Elementary,464,0,127,18,15,81,2,62,9,150,21.1,0,10.7,62,70.82,69.96
Chabot Elementary,Oakland Unified,Elementary,580,1,42,49,4,60,1,96,24,303,12.4,0,1.7,8,80.83,78.65
Cherryland Elementary,Hayward Unified,Elementary,746,0,18,42,9,633,8,20,0,16,76,2.3,15.2,121,20.14,26.33
Circle of Independent Learning,Fremont Unified,K-12 Schools (Public),368,1,148,9,17,88,4,19,0,82,32.1,0,3.9,16,55.5,62.3
Claremont Middle,Oakland Unified,Middle,485,0,24,136,5,97,3,43,10,167,41.4,4,16.1,80,53.81,58.33
Cleveland Elementary,Oakland Unified,Elementary,404,0,137,67,8,44,1,51,11,85,46,0,17,70,61.11,61.62
Coliseum College Prep Academy,Oakland Unified,K-12 Schools (Public),486,0,11,56,1,404,1,1,5,7,94,3.2,30.3,150,17.8,35.61
Colonial Acres Elementary,San Lorenzo Unified,Elementary,564,1,24,37,13,434,16,18,0,21,79.1,1.5,12.3,72,21.05,22.18
Community School for Creative Education,Alameda County Office of Education,Elementary,241,5,24,36,2,139,0,7,21,7,50.2,4.7,23.2,65,17.78,24.41
Community United Elementary,Oakland Unified,Elementary,351,0,14,58,0,261,3,2,10,3,96.6,1.5,35.9,135,9.58,12.96
Connecting Waters Charter - East Bay,Alameda County Office of Education,K-12 Schools (Public),314,3,68,10,13,36,3,54,4,123,13.1,0,0,0,54.82,66.23
Conservatory of Vocal/Instrumental Arts High,Oakland Unified,High School,74,0,3,43,1,17,1,1,0,8,55.4,0,1.3,1,50,85.71
Core Learning Academy at Conley-Caraballo High,New Haven Unified,Continuation,127,0,5,8,10,88,3,4,0,9,41.7,15.1,91.8,157,0,16.95
Cornell Elementary,Albany City Unified,Elementary,561,0,177,7,8,71,0,99,41,158,13.6,1.4,3.1,18,76.49,83.63
Corvallis Elementary,San Lorenzo Unified,Elementary,472,1,120,31,33,207,12,26,1,41,62.3,1,14.3,71,26.52,26.64
Cottonwood Creek,Dublin Unified,Elementary,813,9,638,13,26,41,3,45,0,38,7.4,0.5,2.4,20,85.04,85.46
Cox Academy,Alameda County Office of Education,Elementary,610,1,9,101,3,459,23,11,0,3,89.8,2.9,12.1,77,15.02,22.73
Cragmont Elementary,Berkeley Unified,Elementary,377,2,34,58,3,68,1,68,2,141,31,1.5,7.2,28,59.9,66.49
Creekside Middle,Castro Valley Unified,Middle,781,1,203,26,35,175,2,64,9,266,23.7,4,4.8,38,65.85,69.03
Crocker Highlands Elementary,Oakland Unified,Elementary,466,0,40,36,3,47,0,50,17,273,6,0.2,6.7,32,75.73,79.92
Crossroads High,Newark Unified,Alternative,43,0,1,8,2,23,0,2,1,6,60.5,0,60,45,0,30.77
Dayton Elementary,San Lorenzo Unified,Elementary,449,1,179,25,34,154,4,17,4,31,59.7,0.6,10.1,49,38.4,47.06
Decoto School for Independent Study,New Haven Unified,Alternative,121,0,9,9,6,76,2,7,0,12,47.1,1,64.9,122,8.93,26.32
Del Rey Elementary,San Lorenzo Unified,Elementary,520,1,57,27,36,320,12,7,3,57,57.1,0.7,11.6,63,26.56,29.13
Del Valle Continuation High,Livermore Valley Joint Unified,Continuation,111,1,0,2,1,60,1,3,0,43,67.6,11.9,78.8,141,0,14.75
Delaine Eastin Elementary,New Haven Unified,Elementary,765,5,377,33,130,113,7,41,2,57,20.9,0.4,40.1,308,67.13,73.22
Donald D. Lum Elementary,Alameda Unified,Elementary,30,0,12,2,2,4,0,5,0,5,26.7,0,10,3,73.33,73.33
Donlon Elementary,Pleasanton Unified,Elementary,758,2,416,7,22,45,3,52,1,210,6.7,0.6,1.7,13,78.36,79.21
Downtown Charter Academy,Oakland Unified,Middle,305,0,203,36,1,52,3,5,0,5,78.7,0.6,4,12,65.22,68.23
Dublin Elementary,Dublin Unified,Elementary,878,7,304,14,39,136,13,95,0,270,8.5,0.4,3.8,35,70.07,71.29
Dublin High,Dublin Unified,High School,2978,4,1315,120,182,374,8,254,1,720,10,3.8,5.1,155,66.36,76.61
E. L. Musick Elementary,Newark Unified,Elementary,283,0,46,5,17,175,8,6,1,25,63.5,2.4,7.5,22,38.02,38.33
E. M. Grimmer Elementary,Fremont Unified,Elementary,481,1,128,9,37,241,5,11,4,45,44.5,1.5,7.4,38,67.28,65.44
East Avenue Elementary,Hayward Unified,Elementary,568,0,38,90,12,303,32,38,0,55,68.3,3.4,18.7,113,29.19,42.81
East Avenue Middle,Livermore Valley Joint Unified,Middle,649,2,48,10,20,199,1,62,0,307,30.2,4,0,0,40.22,59.21
East Bay Arts High,San Lorenzo Unified,Alternative,214,1,8,27,9,135,6,7,2,19,64,8.1,27,61,21.62,70.27
East Bay Innovation Academy,Oakland Unified,K-12 Schools (Public),562,3,32,116,5,155,4,75,0,172,24.7,5,10,57,49.09,56.43
East Oakland Pride Elementary,Oakland Unified,Elementary,337,3,8,79,0,229,0,7,8,3,95.6,0.8,42.1,157,11.64,22.4
Eden Gardens Elementary,Hayward Unified,Elementary,552,1,51,41,81,265,32,52,1,28,63.6,0.7,16.9,99,23.91,36.76
Edendale Middle,San Lorenzo Unified,Middle,657,3,34,88,36,444,13,11,4,24,75.7,13.7,9.5,66,8.73,16.85
Edison Elementary,Alameda Unified,Elementary,469,1,72,7,7,62,3,84,17,216,12.8,0.8,2.7,13,75.33,74.89
Edna Brewer Middle,Oakland Unified,Middle,808,0,188,204,7,154,5,69,7,174,56.4,2.6,16.9,138,47.38,53.96
Eldridge Elementary,Hayward Unified,Elementary,378,2,38,27,24,241,26,13,0,7,78.3,2,9.8,38,31.14,44.3
Eleanor Murray Fallon,Dublin Unified,Middle,1557,3,1032,34,61,87,3,117,0,220,4.9,0.2,1.3,20,81.95,85.63
Elmhurst United Middle,Oakland Unified,Middle,372,1,8,109,0,233,14,2,3,2,94.4,9.3,35.8,146,8.47,14.17
Emerson Elementary,Berkeley Unified,Elementary,320,1,31,42,4,55,0,56,0,131,34.4,1.7,36.7,123,9.92,13.71
Emerson Elementary,Oakland Unified,Elementary,308,0,29,155,7,48,1,20,12,36,76,0.6,8,26,69.18,71.92
Emery Secondary,Emery Unified,High School,209,0,28,94,1,55,1,14,0,16,81.3,5.9,17.4,37,23.64,42.59
Emma C. Smith Elementary,Livermore Valley Joint Unified,Elementary,719,2,125,5,17,143,2,69,0,356,7.5,3.2,2.2,16,72.92,75.34
Encinal Junior/Senior High,Alameda Unified,K-12 Schools (Public),1261,6,274,154,142,204,17,100,7,357,39.5,3.6,13.7,176,42.34,63.77
EnCompass Academy Elementary,Oakland Unified,Elementary,327,1,7,55,1,237,4,4,5,13,90.5,0.5,34.1,119,13.48,15.11
Envision Academy for Arts & Technology,Alameda County Office of Education,High School,385,3,6,126,1,217,4,14,0,14,79.5,14.3,20.1,79,10.71,34.52
Epic Charter,Oakland Unified,Middle,316,8,8,45,3,243,2,4,1,2,88.9,9.4,22.4,72,14.62,28.33
Esperanza Elementary,Oakland Unified,Elementary,345,0,0,2,0,336,0,0,6,1,92.5,0.3,26.8,99,31.97,29.71
Fairlands Elementary,Pleasanton Unified,Elementary,767,0,533,3,12,36,0,20,3,160,5.2,0.5,1,8,84.13,85.9
Fairview Elementary,Hayward Unified,Elementary,549,1,28,111,21,291,16,45,1,35,74,2.9,16.6,95,23.91,38.91
Faith Ringgold School of Arts and Science,Hayward Unified,Elementary,132,0,4,21,3,88,0,10,0,6,76.5,4.6,17.6,26,17.39,19.57
Foothill High,Pleasanton Unified,High School,2178,1,860,46,63,227,10,111,0,860,10.2,2.7,4.6,102,69.48,84.88
Forest Park Elementary,Fremont Unified,Elementary,1011,1,883,6,17,33,9,14,6,42,5,0.2,2.7,29,88.66,89.69
Francophone Charter School of Oakland,Oakland Unified,Elementary,226,0,10,36,2,52,0,41,0,85,27,0,8.4,19,74.29,85.92
Frank Otis Elementary,Alameda Unified,Elementary,640,1,121,19,15,89,1,116,26,252,15.8,0.7,4.6,30,66.07,72.6
Franklin Elementary,Alameda Unified,Elementary,335,0,53,5,8,66,0,37,8,158,20.9,2,2.9,10,63.98,73.51
Franklin Elementary,Oakland Unified,Elementary,653,1,374,81,9,132,5,17,16,18,90.2,0.4,28.7,197,29.57,33.78
Fred E. Weibel Elementary,Fremont Unified,Elementary,796,0,666,9,15,35,6,14,3,48,7.8,0,2.5,21,84.12,86.22
Fred T. Korematsu Discovery Academy,Oakland Unified,Elementary,295,1,8,50,1,212,3,5,5,10,96.3,1.5,35.4,110,18.42,19.59
Frederiksen Elementary,Dublin Unified,Elementary,800,1,219,48,38,166,5,83,0,240,18.1,0.1,5.4,45,54.06,59.8
Fremont High,Oakland Unified,High School,771,2,35,152,5,515,27,3,17,15,94.4,8.5,66.8,546,2.47,17.61
Frick Middle,Oakland Unified,Middle,231,1,1,94,0,120,7,4,2,2,95.2,13.8,38.6,93,4.52,11.54
Fruitvale Elementary,Oakland Unified,Elementary,332,5,40,79,2,167,3,12,12,12,88.9,2.1,40.7,147,17.31,23.08
Futures Elementary,Oakland Unified,Elementary,312,0,21,134,0,136,1,4,8,8,97.1,3.6,49.6,168,6.59,10.24
G. M. Walters Middle,Fremont Unified,Middle,727,3,218,16,75,260,6,31,1,117,42.4,4,8.6,65,47.86,65.38
Garfield Elementary,Oakland Unified,Elementary,668,2,179,120,8,307,8,15,12,17,91.9,1.1,29.8,212,27.71,25.5
Garfield Elementary,San Leandro Unified,Elementary,355,1,29,54,36,181,4,22,6,22,68.7,0.5,12.2,45,23.66,26.34
Glassbrook Elementary,Hayward Unified,Elementary,515,2,27,16,6,440,10,5,0,9,80.4,9.9,12.2,67,15.47,20.68
Glenmoor Elementary,Fremont Unified,Elementary,663,2,307,12,32,185,6,30,10,79,31.5,0.3,3.8,26,61.76,70.49
Glenview Elementary,Oakland Unified,Elementary,465,0,44,85,5,65,0,58,21,187,27.1,0.2,16.1,76,47.96,58.37
Global Family,Oakland Unified,Elementary,444,1,2,15,1,413,0,4,6,2,95.1,1,19.3,92,10.05,14.15
Golden Oak Montessori of Hayward,Hayward Unified,Elementary,249,0,19,24,29,93,7,17,1,59,19.7,1.6,5.6,14,41.08,62.7
Granada High,Livermore Valley Joint Unified,High School,2282,3,189,26,85,611,12,176,3,1177,20.3,4,0,0,49.9,67.36
Grant Elementary,San Lorenzo Unified,Elementary,403,0,61,27,37,213,3,16,5,41,54.8,0.9,9.2,39,25.42,32.95
Grass Valley Elementary,Oakland Unified,Elementary,269,1,5,178,0,53,9,10,4,9,76.2,1.6,19.6,58,15.25,13.68
Greenleaf Elementary,Oakland Unified,Elementary,635,1,10,52,3,529,3,7,13,17,93.7,3.3,23.9,156,19.39,27.25
Guy Jr. Emanuele Elementary,New Haven Unified,Elementary,569,6,106,22,70,293,6,23,0,43,58.6,1.2,55.8,334,43.48,45.06
H. A. Snow Elementary,Newark Unified,Elementary,343,0,45,9,20,194,11,19,4,41,51.3,1.7,8.3,29,34.34,43.43
Harder Elementary,Hayward Unified,Elementary,569,0,41,21,16,450,16,14,0,11,79.6,5.2,11,68,12.65,22.49
Harold William Kolb,Dublin Unified,Elementary,735,8,495,18,49,29,2,40,0,94,4.5,0.3,2.8,22,86.72,87.47
Harvest Park Middle,Pleasanton Unified,Middle,1223,0,600,13,19,75,3,51,6,456,7,1.9,1.8,22,78.14,79.82
Harvey Green Elementary,Fremont Unified,Elementary,517,0,339,2,23,91,0,12,3,47,31.3,0.7,4.7,25,74.1,77.74
Havens Elementary,Piedmont City Unified,Elementary,439,0,75,4,3,27,0,92,0,238,0.9,0,3.8,17,92.02,88.32
Hayward High,Hayward Unified,High School,1637,5,91,243,70,1020,36,48,4,120,68.7,10.2,24.2,412,18.32,50.62
Henry P. Mohr Elementary,Pleasanton Unified,Elementary,683,1,493,14,16,37,0,19,2,101,6.2,0.3,2.3,17,88.25,86.98
Hesperian Elementary,San Lorenzo Unified,Elementary,551,2,48,73,38,345,6,12,5,22,74.4,0.8,15.1,87,22.97,25.18
Highland,Hayward Unified,Special Education Schools,23,0,0,6,0,10,0,3,0,4,87,0,22.2,6,0,8.33
Hillcrest Elementary,Oakland Unified,Elementary,388,0,57,34,3,29,0,45,11,209,9.5,1,9.9,39,82.46,87.39
Hillside Elementary,San Lorenzo Unified,Elementary,458,3,26,106,8,256,12,24,2,21,84.1,0.6,18.9,92,11.63,20.19
Hillview Crest Elementary,New Haven Unified,Elementary,513,9,38,29,44,348,5,19,0,21,69.3,1.6,55.1,297,24.08,37.55
Hoover Elementary,Oakland Unified,Elementary,269,1,12,98,1,125,1,4,9,18,94.4,2.8,36.7,104,12.4,17.09
Horace Mann Elementary,Oakland Unified,Elementary,294,4,20,75,1,156,12,11,10,5,91.8,4.3,43.9,143,3.25,4.2
Howard Elementary,Oakland Unified,Elementary,194,0,12,116,2,41,3,7,3,10,87.6,0,52.9,118,21.95,26.25
Independent Elementary,Castro Valley Unified,Elementary,626,1,237,36,34,84,2,63,22,147,15.7,0.2,3,19,75.44,77.89
"Independent Study, Sojourner Truth",Oakland Unified,Opportunity,166,0,9,56,0,74,2,4,7,14,65.1,0,68.4,154,0,19.15
International Community,Oakland Unified,Elementary,293,0,4,3,2,272,0,1,8,3,94.2,1.3,21.8,67,18.62,21.05
Irvington High,Fremont Unified,High School,2294,6,1621,30,119,206,8,49,0,255,16.7,2.5,5.3,122,73.4,75.47
Island High,Alameda Unified,Continuation,96,1,3,26,11,24,2,7,1,21,54.2,16.5,85.2,104,6.06,24.24
Itliong-Vera Cruz,New Haven Unified,Middle,1396,6,432,83,362,305,26,82,0,100,39,7.3,42.7,602,45.21,46.14
J. Haley Durham Elementary,Fremont Unified,Elementary,707,2,443,19,37,132,3,20,10,41,23.6,0.1,4.4,34,72.26,75
J. M. Amador Elementary,Dublin Unified,Elementary,839,8,649,11,26,27,2,54,0,62,1.8,0.1,3.3,30,92.18,90.71
Jackson Avenue Elementary,Livermore Valley Joint Unified,Elementary,526,1,42,6,20,214,1,35,1,206,39.2,1.6,5.1,27,54.43,60.5
James A. Graham Elementary,Newark Unified,Elementary,375,2,42,12,15,252,9,16,2,25,64,1.3,11.3,44,37.26,43.4
James Dougherty Elementary,Dublin Unified,Elementary,890,1,630,14,41,54,0,51,0,99,3.4,0,4.5,43,82.47,88.6
James Logan High,New Haven Unified,High School,3635,11,904,201,841,1239,83,170,0,186,43.8,1.9,45.2,1666,43.97,74.67
