School Name,District Name,School Type,Census Day Enrollment,American Indian or Alaska Native #,Asian #,Black or African American #,Filipino #,Hispanic or Latino #,Native Hawaiian or Pac Islander #,Two or More Races #,None Reported # (School),White #,Free/Reduced Meals %,Suspension Rate,Chronic Absenteeism %,Chronic Absenteeism #,CAASPP-Math Standard Exceeded or Met (Levels 3 and 4),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4)
Jefferson Elementary,Berkeley Unified,Elementary,401,0,33,40,2,66,0,83,0,177,23.7,4.1,14.3,86,26.64,28.94
Jefferson Elementary,San Leandro Unified,Elementary,587,1,59,85,20,364,5,18,5,30,74.5,0,4.6,19,71.65,76.8
Jensen Ranch Elementary,Castro Valley Unified,Elementary,424,0,196,11,22,47,0,36,10,102,11.1,0,1.6,7,79.56,83.11
Joaquin Miller Elementary,Oakland Unified,Elementary,443,2,50,80,1,75,3,50,14,168,32.5,0.9,27.1,123,58.05,62.98
Joe Michell,Livermore Valley Joint Unified,Elementary,819,1,49,11,23,234,4,92,1,404,20,2.7,3,24,47.32,63.22
John Blacow Elementary,Fremont Unified,Elementary,447,3,107,8,21,215,3,24,3,63,43.9,0.2,8.2,39,45.03,45.08
John F. Kennedy Elementary,Newark Unified,Elementary,404,0,78,9,23,166,4,46,4,74,28.4,0.5,2.2,9,56.57,57.58
John F. Kennedy High,Fremont Unified,High School,1292,3,337,60,150,436,18,36,2,250,43.3,4.1,7.8,105,42.95,70.65
John G. Mattos Elementary,Fremont Unified,Elementary,607,3,296,14,23,128,1,17,8,117,17.8,1.6,6.4,41,60.33,64.59
John Gomes Elementary,Fremont Unified,Elementary,746,0,637,6,11,31,3,19,1,38,6,1,3.2,25,91.58,90.49
John Green Elementary,Dublin Unified,Elementary,859,3,591,13,45,44,4,61,0,98,4.1,0.9,2.6,23,83.22,83.44
John M. Horner Junior High,Fremont Unified,Middle,1245,2,940,12,48,127,3,22,0,91,17.5,2,3.6,45,80.42,80.79
John Muir Elementary,Berkeley Unified,Elementary,305,1,31,58,4,46,0,42,1,122,34.4,0,15.5,49,61.44,63.82
John Muir Middle,San Leandro Unified,Middle,1003,2,229,84,102,450,20,39,4,73,62.3,8,10,103,31.36,44.58
Joseph Azevada Elementary,Fremont Unified,Elementary,650,2,393,7,37,111,2,30,2,66,22.5,0.6,4.8,32,79.58,82.88
Joshua Chadbourne Elementary,Fremont Unified,Elementary,734,0,648,2,12,24,0,12,4,32,6.1,0.1,3,24,89.59,86.27
Junction K-8,Livermore Valley Joint Unified,Elementary,934,1,25,16,36,638,3,27,3,185,62.1,4.2,5.8,55,28.92,44.83
Kaiser Elementary,Oakland Unified,Elementary,268,0,21,56,4,44,2,32,13,96,32.1,1.7,25.4,72,70.45,67.42
KIPP Bridge Academy,Oakland Unified,Middle,528,3,23,293,1,116,6,21,0,65,80.1,11.6,25.7,136,25.6,35.63
KIPP King Collegiate High,San Lorenzo Unified,High School,642,0,158,83,22,322,3,18,0,36,62.6,7.6,4.7,30,51.63,77.12
KIPP Summit Academy,San Lorenzo Unified,Middle,413,0,111,15,10,251,1,10,0,15,75.8,4.6,4.1,17,53.53,68.29
Knowledge Enlightens You Academy,Hayward Unified,Elementary,563,1,24,41,15,324,19,3,15,121,57.1,1.2,16.2,94,26.04,29.61
La Escuelita Elementary,Oakland Unified,Elementary,406,1,82,61,7,221,1,10,7,16,91.9,1.5,37,164,26.94,29.63
Laurel Elementary,Oakland Unified,Elementary,475,1,116,164,5,120,14,27,5,23,84,4.9,36.5,187,27.75,30.7
Lawrence Elementary,Livermore Valley Joint Unified,Elementary,357,0,53,8,12,75,1,30,1,177,13.3,2.5,5.4,19,60,63.33
Lazear Charter Academy,Alameda County Office of Education,Elementary,476,3,9,15,1,433,0,4,1,10,89.4,3.5,8.7,42,35.12,48.15
Leadership Public Schools - Hayward,Hayward Unified,High School,595,0,58,20,69,401,10,9,15,13,62.2,5,6.6,39,40.29,57.75
Learning Without Limits,Oakland Unified,Elementary,429,1,30,76,3,300,8,5,0,6,88.6,0.2,7.4,32,31.1,27.96
Leo R. Croce Elementary,Livermore Valley Joint Unified,Elementary,601,1,57,5,13,170,1,58,0,296,25.1,0.7,5.4,32,45.59,51.1
LIFE Academy,Oakland Unified,K-12 Schools (Public),463,1,27,30,3,391,1,4,3,3,90.9,1.9,31,148,13.28,27.52
Lighthouse Community Charter,Oakland Unified,Elementary,505,0,5,56,3,416,0,7,0,18,81.6,11.8,11,56,32.75,35.09
Lighthouse Community Charter High,Oakland Unified,High School,280,0,5,30,4,230,0,1,0,10,78.9,10.5,14.6,41,21.21,40.91
Lincoln Elementary,Newark Unified,Elementary,401,1,38,10,29,214,11,25,6,67,47.6,0.9,6.8,28,69.77,59.2
Lincoln Elementary,Oakland Unified,Elementary,739,0,563,54,11,28,1,29,20,33,75,1.7,6,45,50.94,56.6
Lincoln High,San Leandro Unified,Continuation,187,0,2,39,5,126,1,5,0,9,58.3,17.5,96.4,217,0,7.69
Lincoln Middle,Alameda Unified,Middle,872,1,243,30,34,137,2,110,5,310,15.4,3.3,4.2,37,68.75,79.95
Livermore High,Livermore Valley Joint Unified,High School,1878,8,157,41,68,558,6,111,2,927,24.4,4.9,10.1,193,41.31,60.45
Lodestar: A Lighthouse Community Charter Public,Oakland Unified,K-12 Schools (Public),522,1,6,112,5,358,8,15,7,10,36.2,6.1,17,93,19.22,28.34
Longfellow Arts and Technology Middle,Berkeley Unified,Middle,497,2,22,121,5,213,0,51,0,83,59.8,3.7,4.1,21,35.46,37
Longwood Elementary,Hayward Unified,Elementary,651,0,27,29,25,526,18,15,0,11,79.3,0.7,14.5,101,21.02,25.36
Lorenzo Manor Elementary,San Lorenzo Unified,Elementary,569,2,36,46,34,397,11,11,4,28,70,0.5,15.2,92,20.38,25.29
Lorin A. Eden Elementary,Hayward Unified,Elementary,389,0,73,40,74,154,17,21,0,10,62.5,0.5,13.8,57,33.33,37.23
Love Elementary,Alameda Unified,Elementary,544,2,159,28,55,129,4,67,22,78,46.1,2.6,9.1,51,52.42,55.28
LPS Oakland R & D Campus,Oakland Unified,High School,483,1,6,39,2,430,3,2,0,0,96.9,8.1,21.8,108,11,49
Lydiksen Elementary,Pleasanton Unified,Elementary,666,0,300,11,20,47,2,40,2,244,7.8,0.1,4.5,32,75.76,76.6
Madison Elementary,San Leandro Unified,Elementary,479,3,227,22,38,124,0,28,4,33,47.4,1.2,6.4,32,55.22,65.67
Madison Park Academy 6-12,Oakland Unified,K-12 Schools (Public),774,1,10,113,0,624,11,1,7,7,94.6,14.5,17.6,139,9.79,23.33
Madison Park Academy TK-5,Oakland Unified,Elementary,277,1,8,72,0,174,10,5,4,3,92.4,0,29.6,90,14.77,19.33
Malcolm X Elementary,Berkeley Unified,Elementary,557,0,32,73,5,98,0,81,0,268,25.7,0,9.9,57,62.13,66.42
Manzanita Community,Oakland Unified,Elementary,412,0,51,110,6,201,5,15,14,10,90.8,2.4,49.6,221,7.61,13.11
Manzanita SEED Elementary,Oakland Unified,Elementary,391,1,21,39,1,261,1,14,11,42,65.2,0.9,39.4,169,33.71,34.52
Marin Elementary,Albany City Unified,Elementary,504,1,111,17,5,69,0,77,31,193,16.3,0.9,4.1,21,77.78,80.83
Markham Elementary,Oakland Unified,Elementary,330,0,1,90,2,227,4,4,2,0,96.7,4.4,48.2,171,2.42,3.21
Marshall Elementary,Castro Valley Unified,Elementary,490,2,120,25,19,157,4,43,15,105,34.5,0,6.4,33,68.27,68.55
Martin Luther King Middle,Berkeley Unified,Middle,989,0,67,101,7,158,1,177,1,477,25.2,2.2,6.2,63,70.27,73.24
"Martin Luther King, Jr. Elementary",Oakland Unified,Elementary,314,0,28,176,1,44,5,15,14,31,96.2,2.1,51.7,181,30.51,18.42
"Martin Luther King, Jr. Middle",Hayward Unified,Middle,757,3,71,41,62,523,24,12,0,21,66.1,7.9,10.3,79,35.83,49.17
Marylin Avenue Elementary,Livermore Valley Joint Unified,Elementary,392,1,5,8,18,293,0,20,1,46,77.9,0,8,32,37.5,39.66
Maya Lin,Alameda Unified,Alternative,427,1,52,22,21,77,0,69,15,170,23,1.1,5.8,26,56.12,59.18
McClymonds High,Oakland Unified,High School,383,1,16,307,3,25,3,2,8,18,85.6,13.8,57.3,238,2.38,26.74
McKinley Elementary,San Leandro Unified,Elementary,507,1,70,69,23,268,13,24,9,30,73,0.2,11.5,61,20.61,35
Melrose Leadership Academy,Oakland Unified,Elementary,538,1,5,41,7,338,0,43,9,94,42.6,1,25.4,147,26.92,39.71
MetWest High,Oakland Unified,High School,160,0,9,28,0,105,2,3,5,8,80,1.2,13,21,10.26,27.5
Millennium High Alternative,Piedmont City Unified,Continuation,65,1,4,10,1,15,0,8,0,26,16.9,4.2,28.6,20,18.18,36.36
Mission San Jose Elementary,Fremont Unified,Elementary,535,0,471,7,6,18,2,6,4,21,3.9,0,2.7,15,93.38,93.38
Mission San Jose High,Fremont Unified,High School,2046,2,1848,6,34,34,2,23,0,97,6.7,1.6,4.7,97,93.22,94.78
Mission Valley Elementary,Fremont Unified,Elementary,655,2,549,5,15,30,2,10,5,37,8.7,0.3,3.6,24,87.47,88.01
MLK / Lafayette Elementary,Oakland Unified,Elementary,83,0,10,45,0,15,0,5,0,8,89.2,7.3,42.7,38,13.89,11.94
Monroe Elementary,San Leandro Unified,Elementary,392,1,86,44,34,154,0,25,6,42,68.6,0,10.8,45,40.12,45.83
Montclair Elementary,Oakland Unified,Elementary,640,0,63,92,6,83,1,97,22,276,21.4,0.3,14.6,95,67.51,77.92
Montera Middle,Oakland Unified,Middle,727,6,72,240,7,162,7,53,8,172,54.2,7.9,30,223,23.52,39.44
Mountain House Elementary,Mountain House Elementary,Elementary,17,1,0,0,0,7,4,1,0,4,64.7,0,33.3,7,8.33,25
Mt. Eden High,Hayward Unified,High School,1979,9,242,163,304,1080,74,32,2,73,65.4,3.8,17.5,353,25.86,58.09
Murray Elementary,Dublin Unified,Elementary,615,4,191,32,35,127,5,51,2,168,16,0.6,9.4,62,62,64.52
Nea Community Learning Center,Alameda Unified,K-12 Schools (Public),579,2,70,92,16,120,0,74,31,174,35.1,1.8,7,42,43.09,50.32
New Highland Academy,Oakland Unified,Elementary,356,0,7,51,0,287,4,1,6,0,97.5,1.8,37.3,138,10.17,13.02
Newark Junior High,Newark Unified,Middle,889,5,111,36,81,502,21,40,1,92,52.9,7.9,6,55,33.86,42.96
Newark Memorial High,Newark Unified,High School,1711,2,223,72,184,897,25,47,6,255,45.5,4.9,4.7,82,27.48,60.66
Niles Elementary,Fremont Unified,Elementary,588,1,298,4,24,78,0,33,4,146,13.1,0.3,2.7,16,76.59,78.39
North Oakland Community Charter,Oakland Unified,Elementary,172,0,12,66,0,29,0,23,10,32,51.7,6.3,19.3,35,21.74,28.13
O. N. Hirsch Elementary,Fremont Unified,Elementary,570,1,422,11,19,55,2,12,2,46,23.2,0.5,4,24,76.9,76.14
Oakland Charter Academy,Oakland Unified,Middle,235,1,14,13,2,200,0,0,2,3,91.9,7.1,14.8,37,28.96,40.35
Oakland Charter High,Oakland Unified,High School,459,0,163,17,6,236,0,1,34,2,82.8,5.1,13.3,62,49.12,64.04
Oakland High,Oakland Unified,High School,1642,5,527,400,21,587,18,27,29,28,87,4.7,36.7,612,12.43,37.02
Oakland International High,Oakland Unified,Alternative,369,1,64,17,0,260,0,2,9,16,97,2.9,55.2,251,5.56,0
"Oakland Military Institute, College Preparatory Academy",Oakland Unified,K-12 Schools (Public),743,3,117,127,7,447,3,13,6,20,77,13.2,6.4,48,9.95,26.42
Oakland School for the Arts,Oakland Unified,K-12 Schools (Public),749,4,48,141,6,121,3,106,3,317,13.5,1.7,13.5,102,54.66,70.29
Oakland SOL Dual Language Middle,Oakland Unified,Middle,100,0,2,23,0,70,0,0,2,3,81,0.8,46.5,53,10,15
Oakland Technical High,Oakland Unified,High School,2016,4,385,537,32,346,8,134,55,515,47.7,2.5,22.5,463,34.17,53.72
Oakland Unity High,Oakland Unified,High School,359,0,1,15,1,332,1,0,9,0,85.2,3.6,11.1,40,47.06,71.76
Oakland Unity Middle,Alameda County Office of Education,Middle,184,0,2,20,1,155,0,2,1,3,76.6,12.4,14.5,27,15.79,24.71
Ocean View Elementary,Albany City Unified,Elementary,573,1,186,23,10,103,0,76,68,106,33.3,0.2,9.8,60,66.53,73.59
Oliveira Elementary,Fremont Unified,Elementary,885,2,546,25,41,139,8,29,4,91,23.5,0.8,6.6,63,65.28,72.47
Oxford Elementary,Berkeley Unified,Elementary,281,0,17,51,4,55,1,51,0,102,33.5,0,12.2,36,62.25,60.53
Palma Ceia Elementary,Hayward Unified,Elementary,551,2,53,36,74,323,25,25,1,12,75.7,1.5,9.6,54,27.81,40.25
Palomares Elementary,Castro Valley Unified,Elementary,143,0,17,4,6,51,0,17,3,45,22.4,0,2.8,4,69.86,68.49
Park Elementary,Hayward Unified,Elementary,532,1,45,32,22,377,16,23,0,16,84,0.7,11.5,66,24.06,34.59
Parker Elementary,Oakland Unified,Elementary,314,0,5,181,3,96,18,2,5,4,92.4,6.6,50.3,181,12.43,26.49
Parkmont Elementary,Fremont Unified,Elementary,885,4,637,7,40,91,3,26,8,69,11.2,0.2,3.3,30,82.7,88.1
Patterson Elementary,Fremont Unified,Elementary,786,3,457,25,61,125,5,34,6,70,23.2,1.2,7.4,63,65.12,70.56
Peralta Elementary,Oakland Unified,Elementary,331,2,11,46,0,41,0,40,17,174,15.4,1.2,10.9,37,78.06,79.62
Phoebe Apperson Hearst Elementary,Pleasanton Unified,Elementary,705,0,391,22,3,61,2,33,0,193,8.1,1.2,2.8,21,84.33,77.44
Piedmont Avenue Elementary,Oakland Unified,Elementary,329,2,22,160,3,76,1,25,8,32,74.8,0,29.7,105,20.16,23.62
Piedmont High,Piedmont City Unified,High School,855,0,106,10,6,55,0,146,0,532,1.3,1.3,4.9,42,81.98,86.47
Piedmont Middle,Piedmont City Unified,Middle,651,0,69,3,6,64,0,102,0,407,1.7,0.5,3.8,25,86.22,88.24
Pioneer Elementary,New Haven Unified,Elementary,750,3,267,35,204,116,10,50,0,65,34.8,0.5,42.3,329,53.49,60.11
Pleasanton Middle,Pleasanton Unified,Middle,1215,5,401,16,16,188,2,82,2,503,12.7,3.6,3.8,47,70.43,75.38
Prescott,Oakland Unified,Elementary,151,1,6,103,1,30,1,5,0,4,93.2,5.3,59.8,107,14.52,11.11
Proctor Elementary,Castro Valley Unified,Elementary,511,0,119,13,16,120,0,67,16,160,17.6,0.2,3.4,18,80.53,77.88
Ralph J. Bunche High,Oakland Unified,Continuation,124,0,1,66,0,42,2,3,7,3,86.3,2.1,97.7,169,0,11.76
Rancho Las Positas Elementary,Livermore Valley Joint Unified,Elementary,599,5,48,6,17,193,0,58,1,271,24,1.8,4.3,25,57.85,61.92
Reach Academy,Oakland Unified,Elementary,383,1,16,141,7,174,18,13,4,9,90.5,1.8,47.8,197,10.16,12.37
REALM Charter,Berkeley Unified,K-12 Schools (Public),383,1,10,80,2,250,0,21,2,17,62.7,1.1,21.6,91,2.99,16.18
Redwood Continuation High,Castro Valley Unified,Continuation,125,3,2,14,5,51,3,14,1,32,40,4.8,65.4,117,1.72,16.13
Redwood Heights Elementary,Oakland Unified,Elementary,372,3,31,66,2,50,1,49,24,146,19.4,0,13.7,52,45.24,57.14
Rise Community,Oakland Unified,Elementary,233,0,11,77,4,135,2,1,2,1,97.4,0.4,41.3,102,7.94,12
Robertson High,Fremont Unified,Continuation,176,2,26,15,10,84,2,5,0,32,58,16,55,169,4.72,28.85
Roosevelt Elementary,San Leandro Unified,Elementary,541,2,69,63,18,181,5,54,7,142,34.6,0.7,5.7,32,52.48,58.58
Roosevelt Middle,Oakland Unified,Middle,568,3,223,100,10,205,6,5,8,8,92.8,3.2,21.8,131,25.14,25.88
ROOTS International Academy,Oakland Unified,Middle,273,0,17,91,3,150,1,1,3,7,95.6,12.9,52.8,150,1.32,8.28
Rosa Parks Environmental Science,Berkeley Unified,Elementary,449,0,35,46,3,93,0,58,0,214,21.8,0,7.3,33,69.52,72.12
Roses in Concrete,Oakland Unified,Elementary,368,1,0,146,4,120,7,24,60,6,55.4,3.1,29.6,116,6.18,16.77
Royal Sunset,San Lorenzo Unified,Continuation,105,1,3,26,2,66,0,2,0,5,59.1,10,85.7,162,0,16.67
Ruby Bridges Elementary,Alameda Unified,Elementary,484,5,109,88,38,89,8,50,16,81,63,3.3,19.7,101,31.6,36.97
Ruus Elementary,Hayward Unified,Elementary,486,0,64,30,44,292,22,23,0,11,72.4,1.9,12.7,65,26.91,29.25
San Leandro High,San Leandro Unified,High School,2652,5,445,402,231,1227,28,85,14,215,58.3,6.4,19.2,524,19.48,57.27
San Lorenzo High,San Lorenzo Unified,High School,1349,5,119,190,84,830,23,19,10,69,65.5,7.1,19.1,269,22.22,47.18
Sankofa Academy,Oakland Unified,Elementary,189,1,7,135,0,21,0,10,9,6,82,16.4,43.4,89,0,16.9
Schafer Park Elementary,Hayward Unified,Elementary,778,0,46,34,26,627,20,16,0,9,72.4,2,10.2,82,34.73,46.12
Searles Elementary,New Haven Unified,Elementary,662,6,74,25,51,433,15,25,0,33,50.7,1.3,58,398,28.08,41.03
Sequoia Elementary,Oakland Unified,Elementary,436,3,46,76,11,95,5,56,15,129,24.8,0,20.2,90,47.69,57.65
Silver Oak High Public Montessori Charter,Hayward Unified,High School,218,2,13,8,10,135,2,6,4,38,59.6,4,15.6,35,25,63.41
Skyline High,Oakland Unified,High School,1592,8,188,506,39,591,33,61,34,132,72.6,4.6,52.8,876,14.91,33.33
Southgate Elementary,Hayward Unified,Elementary,677,0,118,52,82,302,51,38,0,34,64.6,0.3,8,56,57.88,61.68
Stanton Elementary,Castro Valley Unified,Elementary,493,0,118,45,38,126,2,52,13,99,36.5,0.9,6,31,52.72,56.96
Steven Millard Elementary,Fremont Unified,Elementary,577,3,347,5,38,104,3,13,2,62,20.6,0,4.4,27,69.23,70.33
Stonebrae Elementary,Hayward Unified,Elementary,745,2,136,97,33,307,13,77,1,79,55.3,1.7,11.5,88,35.56,38.72
Street Academy,Oakland Unified,Alternative,107,0,3,50,0,46,0,3,2,3,86,0,46.5,53,2.86,8.57
Strobridge Elementary,Hayward Unified,Elementary,492,1,19,61,11,335,10,23,1,31,71.3,4.6,20.5,108,13.17,22.38
Sunol Glen Elementary,Sunol Glen Unified,Elementary,297,2,65,2,4,52,2,30,0,140,8.1,2,3.7,11,89.06,83.85
Sunset Elementary,Livermore Valley Joint Unified,Elementary,771,0,78,9,9,135,0,86,1,453,6.6,0.5,3.4,26,69.13,80.05
Sylvia Mendez Elementary,Berkeley Unified,Elementary,398,0,8,48,1,205,0,36,0,100,31.4,0,9.5,38,51.88,51.25
Tennyson High,Hayward Unified,High School,1423,7,105,90,93,1020,56,8,1,43,76.3,7.5,25.1,390,10.71,34.76
The Academy of Alameda,Alameda Unified,Middle,494,0,108,60,26,97,2,82,12,107,47.8,6,9.5,47,48.24,52.07
The Academy of Alameda Elementary,Alameda Unified,Elementary,251,0,50,24,19,52,2,34,16,54,45.4,0,6,15,55.45,42.57
Think College Now,Oakland Unified,Elementary,305,1,21,48,7,212,1,4,4,7,91.5,3.9,43.9,141,32.9,35.71
Thomas S. Hart Middle,Pleasanton Unified,Middle,1201,1,588,19,29,89,2,75,0,398,7.8,2.8,3.9,47,75.94,82.19
Thornhill Elementary,Oakland Unified,Elementary,410,0,50,40,1,54,1,53,20,191,12.9,0.7,16.2,67,72.22,82.78
Thornton Junior High,Fremont Unified,Middle,1297,2,835,37,94,134,15,46,0,134,17.3,3.8,5.1,67,75.06,77.19
Thousand Oaks Elementary,Berkeley Unified,Elementary,403,0,22,44,2,145,0,56,0,134,38.2,0.5,12.7,52,44.29,49.76
Tom Kitayama Elementary,New Haven Unified,Elementary,776,2,205,23,137,279,11,56,1,62,43.1,0.4,54.6,441,59.35,59.4
Tom Maloney Elementary,Fremont Unified,Elementary,589,0,396,17,30,92,3,5,2,44,19.9,0,5.9,36,75.25,77.89
Treeview Elementary,Hayward Unified,Elementary,461,1,54,47,48,248,10,23,0,30,75.3,0.2,11.6,57,23.08,27.62
Tyrrell Elementary,Hayward Unified,Elementary,675,2,35,23,29,552,25,5,0,4,84.6,4.2,11.1,77,23.9,29.14
United for Success Academy,Oakland Unified,Middle,370,0,23,60,4,259,6,7,7,4,93.2,16.7,35.8,138,12.11,14.97
Urban Montessori Charter,Alameda County Office of Education,Elementary,432,2,31,82,4,111,1,66,3,132,30.3,1.3,17.9,78,35.75,45.83
Urban Promise Academy,Oakland Unified,Middle,370,2,12,20,3,320,2,0,6,5,97,8.7,28.8,111,20.59,31.35
Vallejo Mill Elementary,Fremont Unified,Elementary,519,5,184,16,24,180,3,17,1,89,29.1,0.2,7.3,40,54.79,59.93
Valley High,Dublin Unified,Continuation,60,0,6,12,1,18,0,6,0,17,35,20.2,55.4,51,0,40.63
Valley View Elementary,Pleasanton Unified,Elementary,651,1,85,8,3,238,1,47,3,265,25,0.4,2.7,18,60.95,60.95
Vannoy Elementary,Castro Valley Unified,Elementary,436,1,128,11,17,92,1,44,11,131,14,0.7,3.1,14,71.49,71.18
Village High,Pleasanton Unified,Continuation,113,0,8,5,1,30,0,6,0,63,31.9,12.3,37.5,57,4.88,21.95
Vincent Academy,Oakland Unified,Elementary,242,0,0,162,0,43,0,13,1,23,79.8,5.8,31.2,78,13.92,15.19
Vineyard Alternative,Livermore Valley Joint Unified,Alternative,136,1,2,4,2,44,0,13,0,70,30.2,0.5,54.6,107,18.97,40.68
Vintage Hills Elementary,Pleasanton Unified,Elementary,629,0,236,13,10,48,2,43,3,274,7.3,0.4,3.3,22,82.84,82.24
Vista Alternative,Fremont Unified,Alternative,34,0,3,3,2,6,2,2,0,16,55.9,0,34.5,19,0,69.23
Walnut Grove Elementary,Pleasanton Unified,Elementary,749,0,294,6,5,29,1,46,4,364,4,0.4,1.2,9,77.43,80.1
Warm Springs Elementary,Fremont Unified,Elementary,1054,3,937,6,12,28,1,19,0,48,5.1,0.2,2,22,92.14,91.06
Warwick Elementary,Fremont Unified,Elementary,912,2,607,17,54,111,5,35,9,72,15.5,0.5,4.2,40,73.4,77.73
Washington Elementary,San Leandro Unified,Elementary,398,1,31,38,10,254,0,27,4,33,67.3,0,11.5,60,67.15,64.53
Washington Elementary,Berkeley Unified,Elementary,501,1,49,65,4,85,1,77,0,219,28.5,2.1,10.3,43,40.21,30.69
Washington High,Fremont Unified,High School,1918,4,775,63,151,447,14,81,3,380,29.6,5,11.3,222,56.76,72.52
Washington Manor Middle,San Lorenzo Unified,Middle,760,2,193,51,81,313,9,34,2,75,52.2,6.8,7.2,56,29.76,44.77
Wells Middle,Dublin Unified,Middle,996,0,247,53,73,195,5,92,0,331,16.2,2.2,5.2,53,52.7,64.9
West Oakland Middle,Oakland Unified,Middle,199,1,17,120,0,37,1,3,7,13,94,26.6,51.4,109,8.56,13.04
Westlake Middle,Oakland Unified,Middle,307,0,41,152,6,81,1,8,9,9,85.3,19.8,34.2,122,5.66,12.08
Wildwood Elementary,Piedmont City Unified,Elementary,296,0,32,0,2,34,0,53,0,175,0,0.3,2,6,91.72,89.81
Will C. Wood Middle,Alameda Unified,Middle,575,1,156,55,48,117,9,54,7,128,43.5,2.8,12.4,76,41.5,56.02
Willard Middle,Berkeley Unified,Middle,667,2,38,93,7,122,1,119,0,285,35.5,2.4,6,40,70.22,77.34
William G. Paden Elementary,Alameda Unified,Elementary,397,2,93,30,33,76,3,50,14,96,45.6,1.4,11.7,49,53.89,54.49
William Hopkins Junior High,Fremont Unified,Middle,1060,1,910,8,12,57,0,26,0,46,7.6,1.8,1.8,19,90.82,91.96
William Mendenhall Middle,Livermore Valley Joint Unified,Middle,965,3,88,4,28,169,1,100,0,572,8.5,2.1,3.5,34,63.06,75.13
Wilson Elementary,San Leandro Unified,Elementary,748,1,154,40,84,383,9,33,7,37,70.6,0.4,14,109,37.67,46.24
Winton Middle,Hayward Unified,Middle,505,0,22,31,21,395,14,8,0,14,74.1,9.2,11.4,59,19.06,32.58
Yu Ming Charter,Alameda County Office of Education,Elementary,445,0,205,27,7,26,1,143,0,36,14.4,0.2,1.1,5,93.97,93.53
